"NUMERO_VIAGEM";"NUMERO_PEDIDO";"NUMERO_REMESSA";"CNPJ_EXPEDIDOR";"NOME_EMBARCADOR";"IE_EMBARCADOR";"LOGRADOURO_EMBARCADOR";"BAIRRO_EMBARCADOR";"CIDADE_EMBARCADOR";"CEP_EMBARCADOR";"NOME_DESTINATARIO";"NUMERO_DOCUMENTO_DESTINATARIO";"IE_DESTINATARIO";"LOGRADOURO_DESTINATARIO";"BAIRRO_DESTINATARIO";"CIDADE_DESTINATARIO";"CEP_DESTINATARIO";"CODIGO_MUNICIPIO_DESTINATARIO";"NOME_TOMADOR";"NUMERO_DOCUMENTO_TOMADOR";"IE_TOMADOR";"LOGRADOURO_TOMADOR";"BAIRRO_TOMADOR";"CIDADE_TOMADOR";"CEP_TOMADOR";"CODIGO_MUNICIPIO_TOMADOR";"TIPO_PESSOA_DESTINATARIO";"TIPO_FRETE";"SERIE_NOTA";"NUMERO_NOTA";"DATA_EMISSAO";"CHAVE_ACESSO_NOTA";"NATUREZA_MERCADORIA";"ACONDICIONAMENTO_MERCADORIA";"QUANTIDADE_VOLUMES";"VALOR_REMESSA";"PESO";"CHAVE_ACESSO_CTE";"CNPJ_BASE_ORIGEM";"CNPJ_BASE_DESTINO";"PLACA_VEICULO";"NOME_MOTORISTA"
"6768902";;"04253083480183";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730918";"05112025";"15251100776574194503550040007309181964715831";"DIVERSOS";"CAIXA";"1";"      3542,88";"          ,53";"15251115121491002735570080005268181716798371";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253083479552";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730871";"05112025";"15251100776574194503550040007308711835268156";"DIVERSOS";"CAIXA";"1";"      3030,06";"         1,02";"15251115121491002735570080005268151774370409";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440113";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"729779";"04112025";"15251100776574194503550040007297791914859254";"DIVERSOS";"CAIXA";"1";"      3304,81";"          ,04";"15251115121491002735570080005268461216917902";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253083479801";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730682";"05112025";"15251100776574194503550040007306821683506761";"DIVERSOS";"CAIXA";"1";"       830,01";"         1,04";"15251115121491002735570080005268371737610415";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253083480183";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730906";"05112025";"15251100776574194503550040007309061962710106";"DIVERSOS";"CAIXA";"1";"      3542,88";"          ,53";"15251115121491002735570080005268181716798371";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253083479817";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730450";"05112025";"15251100776574194503550040007304501447066139";"DIVERSOS";"CAIXA";"1";"      2471,30";"          ,71";"15251115121491002735570080005268271518539220";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440393";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"729853";"04112025";"15251100776574194503550040007298531967290182";"DIVERSOS";"CAIXA";"1";"      9053,82";"         1,69";"15251115121491002735570080005268011533262394";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440454";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730035";"04112025";"15251100776574194503550040007300351089232066";"DIVERSOS";"CAIXA";"1";"      6388,28";"         1,31";"15251115121491002735570080005268021566105155";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440465";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730101";"04112025";"15251100776574194503550040007301011150328363";"DIVERSOS";"CAIXA";"1";"      6579,74";"         1,26";"15251115121491002735570080005268231603698517";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253083479838";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730465";"05112025";"15251100776574194503550040007304651453145994";"DIVERSOS";"CAIXA";"1";"      5795,20";"          ,74";"15251115121491002735570080005268191916878430";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440081";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"729780";"04112025";"15251100776574194503550040007297801914906253";"DIVERSOS";"CAIXA";"1";"      1101,60";"          ,01";"15251115121491002735570080005268471381066902";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440393";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"729852";"04112025";"15251100776574194503550040007298521966898449";"DIVERSOS";"CAIXA";"1";"      9053,82";"         1,69";"15251115121491002735570080005268011533262394";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253083479838";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730457";"05112025";"15251100776574194503550040007304571448946508";"DIVERSOS";"CAIXA";"1";"      5795,20";"          ,74";"15251115121491002735570080005268191916878430";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440408";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730318";"04112025";"15251100776574194503550040007303181337346649";"DIVERSOS";"CAIXA";"1";"      3803,16";"          ,66";"15251115121491002735570080005268121989554545";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440420";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730269";"04112025";"15251100776574194503550040007302691310143988";"DIVERSOS";"CAIXA";"1";"      2022,45";"          ,85";"15251115121491002735570080005268071153133553";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253174177875";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"740248";"14112025";"15251100776574194503550040007402481658757128";"DIVERSOS";"CAIXA";"1";"      6318,72";"         1,49";"15251115121491002735570080005348631356657348";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253174178131";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"740188";"14112025";"15251100776574194503550040007401881600559722";"DIVERSOS";"CAIXA";"1";"      4056,56";"         1,04";"15251115121491002735570080005348721250453390";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253174177875";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"740247";"14112025";"15251100776574194503550040007402471658271350";"DIVERSOS";"CAIXA";"1";"      6318,72";"         1,49";"15251115121491002735570080005348631356657348";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
